"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"9687358937";"8.6487039";"-82.9423429";"charging_station";"";"Costa Rica";"Puntarenas";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12613255045";"8.4340183";"-82.4402858";"charging_station";"";"Panama";"Chiriqui";"N/A";"N/A";"";"300";"";"yes";"";"";"";"";"";"2";"";"";"";"";"";"";"Evergo";"";"";"yes"
"12613320947";"8.4457814";"-82.4219522";"charging_station";"";"Panama";"Chiriqui";"N/A";"N/A";"";"300";"";"yes";"";"";"";"";"";"2";"";"";"";"";"";"";"Evergo";"";"";"yes"
"10219933267";"8.5079225";"-80.3631084";"charging_station";"";"Panama";"Cocle";"N/A";"N/A";"";"1";"";"";"Evergo";"";"";"";"";"";"";"";"";"";"";"";"Evergo";"";"";"yes"
"11984695108";"8.5032994";"-80.3646689";"charging_station";"";"Panama";"Cocle";"N/A";"N/A";"";"2";"";"";"Evergo";"";"";"";"";"";"";"";"";"";"";"";"Evergo";"";"24/7";"yes"
"11999470658";"8.5083286";"-80.3628688";"charging_station";"";"Panama";"Cocle";"N/A";"N/A";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"12057934460";"8.5092534";"-80.3612082";"charging_station";"";"Panama";"Cocle";"N/A";"N/A";"";"1";"";"";"Evergo";"";"";"";"";"";"";"";"";"";"";"";"Evergo";"";"24/7";"yes"
"12579148858";"8.5160167";"-80.3527844";"charging_station";"";"Panama";"Cocle";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9687358987";"8.8196898";"-82.9703156";"charging_station";"";"Costa Rica";"Puntarenas";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11181807278";"9.0014339";"-79.5828164";"charging_station";"Distrito de Panama";"Panama";"Panama";"N/A";"N/A";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4738687022";"9.3499549";"-79.8963112";"charging_station";"";"Panama";"Colon";"N/A";"N/A";"";"";"";"";"Alyan internacinal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
