id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
426555609,45.7439476,13.38206,charging_station,N/A,2,N/A,N/A,Ai Due Leoni,Q674712,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Repower,N/A,N/A,no
4439633164,45.9177649,13.7215409,charging_station,yes,2,N/A,N/A,SODO,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
4439633165,45.9168322,13.7197047,charging_station,yes,2,N/A,N/A,SODO,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
4439731006,45.5403417,13.7226082,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4736022093,45.5498859,13.7303487,charging_station,N/A,2,N/A,yes,N/A,N/A,1,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,no
4736382295,45.5397312,13.7383067,charging_station,N/A,2,N/A,yes,N/A,N/A,1,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
4736382296,45.5461491,13.7252175,charging_station,N/A,2,N/A,yes,N/A,N/A,1,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
4826979098,45.682869,13.783492,charging_station,N/A,2,N/A,N/A,Hera / AcegasApsAmga,N/A,N/A,N/A,N/A,1,N/A,N/A,14ZP22T5AB1R000013,N/A,N/A,N/A,N/A,N/A,24/7,yes
4826979099,45.707228,13.7343302,charging_station,N/A,2,N/A,yes,AcegasApsAmga,Q20009034,N/A,N/A,N/A,1,N/A,N/A,14ZP22T5AB1R000051,N/A,N/A,N/A,N/A,N/A,24/7,yes
4826982721,45.6407189,13.8589281,charging_station,N/A,2,N/A,N/A,Hera / AcegasApsAmga,N/A,N/A,N/A,N/A,1,N/A,N/A,14ZP22T5AB1R000053,N/A,N/A,N/A,N/A,N/A,24/7,yes
4865249864,45.6503043,13.7810585,charging_station,N/A,2,N/A,yes,AcegasApsAmga,Q20009034,N/A,N/A,N/A,1,N/A,N/A,14ZP22T5AB1R000015,N/A,N/A,N/A,N/A,N/A,24/7,yes
4865249878,45.6233856,13.7871069,charging_station,N/A,2,N/A,yes,Hera / AcegasApsAmga,N/A,N/A,N/A,N/A,1,N/A,N/A,14ZP22T5AB1R000055,N/A,N/A,N/A,N/A,N/A,24/7,yes
4865249879,45.6467452,13.7607351,charging_station,N/A,2,N/A,yes,Hera / AcegasApsAmga (EnelX),N/A,N/A,N/A,N/A,2,N/A,N/A,19XP22T3KK4AH00297,N/A,N/A,N/A,N/A,N/A,24/7,yes
4865249880,45.6491465,13.7690623,charging_station,N/A,2,N/A,yes,AcegasApsAmga,Q20009034,N/A,N/A,N/A,1,N/A,N/A,15ZP22T5AB1R000036,N/A,N/A,N/A,N/A,N/A,24/7,yes
