"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"12947329302";"18.0369753";"-71.7452645";"charging_station";"";"Dominican Republic";"Pedernales";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"evergo";"";"";""
"11508734040";"18.3495346";"-68.8290855";"charging_station";"";"Dominican Republic";"La Romana";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no"
"1246454802";"";"";"charging_station";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11587876303";"18.4152862";"-68.9341718";"";"";"Dominican Republic";"La Romana";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11587876304";"18.415284";"-68.9340535";"";"";"Dominican Republic";"La Romana";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11587876305";"18.415202";"-68.9340558";"";"";"Dominican Republic";"La Romana";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11587876306";"18.4152043";"-68.9341732";"";"";"Dominican Republic";"La Romana";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4510853691";"18.4786633";"-69.8860305";"charging_station";"";"Dominican Republic";"Nacional";"N/A";"N/A";"";"";"";"";"cargar el mobil electricidad público";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6740364286";"18.4815837";"-69.9126835";"charging_station";"";"Dominican Republic";"Nacional";"N/A";"N/A";"";"3";"";"";"Banco Popular";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"no"
"10961301961";"18.5060972";"-69.8570825";"charging_station";"Santo Domingo";"Dominican Republic";"Santo Domingo";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10967621792";"18.4817723";"-69.9386996";"charging_station";"";"Dominican Republic";"Nacional";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11064370053";"18.4882162";"-69.7488908";"charging_station";"";"Dominican Republic";"Santo Domingo";"N/A";"N/A";"";"";"";"";"EverGo";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12926314840";"19.4619238";"-70.6854714";"charging_station";"";"Dominican Republic";"Santiago";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8947322916";"18.9914055";"-70.4316521";"charging_station";"";"Dominican Republic";"Monsenor Nouel";"N/A";"N/A";"";"2";"";"";"Evergo";"";"";"";"";"";"";"";"";"";"";"";"";"573.48 DOP/Hr";"";"yes"
